detalles,modelo,precio
"2022 • 17,392 km • 2.0 MHEV I SPORT AUTO • Automático",Mazda • Mazda 3,"$
320,999"
"2022 • 35,149 km • 2.5 I AUTO • Automático",Mazda • Mazda 3,"$
276,999"
"2022 • 53,233 km • 2.5 TURBO SIGNATURE 4WD AUTO • Automático",Mazda • Mazda 3,"$
326,999"
"2017 • 58,273 km • 2.5 HATCHBACK S GRAND TOURING TA • Automático",Mazda • Mazda 3,"$
213,999"
"2018 • 122,213 km • 2.0 SEDAN I TM • Manual",Mazda • Mazda 3,"$
176,999"
"2022 • 101,587 km • 2.5 I SPORT • Manual",Mazda • Mazda 3,"$
278,999"
"2021 • 37,507 km • 2.5 I SPORT AUTO • Automático",Mazda • Mazda 3,"$
287,999"
"2022 • 25,600 km • 2.5 I SPORT AUTO • Automático",Mazda • Mazda 3,"$
322,999"
"2018 • 23,526 km • 2.5 SEDAN S TM • Manual",Mazda • Mazda 3,"$
248,999"
"2015 • 35,851 km • 2.0 SEDAN I TA • Automático",Mazda • Mazda 3,"$
200,999"
"2025 • 15,500 km • 2.5 TURBO SIGNATURE 4WD AUTO • Automático",Mazda • Mazda 3,"$
455,999"
"2020 • 85,094 km • 2.5 I GRAND TOURING AUTO • Automático",Mazda • Mazda 3,"$
279,999"
"2021 • 42,500 km • 2.5 I GRAND TOURING AUTO • Automático",Mazda • Mazda 3,"$
310,999"
"2016 • 45,849 km • 2.5 HATCHBACK S TA • Automático",Mazda • Mazda 3,"$
201,999"
"2022 • 55,000 km • 2.5 I GRAND TOURING AUTO • Automático",Mazda • Mazda 3,"$
274,999"
"2023 • 26,167 km • 2.5 I SPORT AUTO • Automático",Mazda • Mazda 3,"$
306,999"
"2024 • 19,175 km • 2.5 I AUTO • Automático",Mazda • Mazda 3,"$
277,999"
"2018 • 111,216 km • 2.5 SEDAN S GRAND TOURING TA • Automático",Mazda • Mazda 3,"$
204,999"
"2024 • 7,226 km • 2.5 TURBO SIGNATURE 4WD AUTO • Automático",Mazda • Mazda 3,"$
431,999"
"2022 • 32,627 km • 2.5 I SPORT AUTO • Automático",Mazda • Mazda 3,"$
285,999"
"2018 • 86,000 km • 2.5 HATCHBACK S GRAND TOURING TA • Automático",Mazda • Mazda 3,"$
196,999"
"2017 • 87,051 km • 2.5 HATCHBACK I TOURING TM • Manual",Mazda • Mazda 3,"$
204,999"
"2023 • 25,019 km • 2.5 I GRAND TOURING AUTO • Automático",Mazda • Mazda 3,"$
345,999"
"2021 • 20,700 km • 2.5 I GRAND TOURING AUTO • Automático",Mazda • Mazda 3,"$
307,999"
"2020 • 46,547 km • 2.5 I SPORT AUTO • Automático",Mazda • Mazda 3,"$
271,999"
"2020 • 69,879 km • 2.5 I GRAND TOURING AUTO • Automático",Mazda • Mazda 3,"$
310,999"
"2019 • 83,581 km • 2.5 I SEDAN • Manual",Mazda • Mazda 3,"$
230,999"
"2021 • 51,584 km • 2.5 TURBO SIGNATURE 4WD AUTO • Automático",Mazda • Mazda 3,"$
333,999"
"2021 • 41,027 km • 2.5 I SPORT AUTO • Automático",Mazda • Mazda 3,"$
299,999"
"2023 • 25,721 km • 2.5 I SPORT AUTO • Automático",Mazda • Mazda 3,"$
333,999"
"2017 • 68,290 km • 2.5 SEDAN I TOURING TM • Manual",Mazda • Mazda 3,"$
185,999"
"2024 • 3,696 km • 2.5 I GRAND TOURING AUTO • Automático",Mazda • Mazda 3,"$
359,999"
"2023 • 22,000 km • 2.5 TURBO SIGNATURE 4WD AUTO • Automático",Mazda • Mazda 3,"$
369,999"
"2017 • 128,067 km • 2.5 SEDÁN S GRAND TOURING TA • Automático",Mazda • Mazda 3,"$
191,999"
"2023 • 19,879 km • 2.5 TURBO SIGNATURE 4WD AUTO • Automático",Mazda • Mazda 3,"$
402,999"
"2020 • 42,684 km • 2.5 I GRAND TOURING AUTO • Automático",Mazda • Mazda 3,"$
275,999"
"2021 • 42,182 km • 2.5 I SPORT AUTO • Automático",Mazda • Mazda 3,"$
277,999"
"2021 • 59,818 km • 2.5 TURBO S GRAND TOURING 4WD AUTO • Automático",Mazda • Mazda 3,"$
290,999"
"2023 • 35,768 km • 2.5 I SPORT • Manual",Mazda • Mazda 3,"$
313,999"
"2017 • 73,364 km • 2.5 HATCHBACK I TOURING TA • Automático",Mazda • Mazda 3,"$
206,999"
"2020 • 30,000 km • 2.5 I AUTO • Automático",Mazda • Mazda 3,"$
265,999"
"2022 • 51,002 km • 2.5 I GRAND TOURING AUTO • Automático",Mazda • Mazda 3,"$
279,999"
"2021 • 69,000 km • 2.5 I SPORT AUTO • Automático",Mazda • Mazda 3,"$
283,999"
"2021 • 13,000 km • 2.5 I SPORT AUTO • Automático",Mazda • Mazda 3,"$
292,999"
"2023 • 9,000 km • 2.5 I GRAND TOURING AUTO • Automático",Mazda • Mazda 3,"$
365,999"
"2021 • 53,000 km • 2.5 I SPORT AUTO • Automático",Mazda • Mazda 3,"$
274,999"
"2016 • 140,287 km • 2.0 SEDAN I TOURING TM • Manual",Mazda • Mazda 3,"$
188,999"
"2020 • 51,000 km • 2.5 I GRAND TOURING AUTO • Automático",Mazda • Mazda 3,"$
261,999"
"2019 • 33,476 km • 2.5 I SEDAN • Manual",Mazda • Mazda 3,"$
244,999"
"2024 • 15,735 km • 2.5 I GRAND TOURING AUTO • Automático",Mazda • Mazda 3,"$
367,999"
"2023 • 20,237 km • 2.5 I • Manual",Mazda • Mazda 3,"$
266,999"
"2023 • 14,164 km • 2.5 I GRAND TOURING AUTO • Automático",Mazda • Mazda 3,"$
349,999"
"2022 • 20,230 km • 2.5 I GRAND TOURING AUTO • Automático",Mazda • Mazda 3,"$
285,999"
"2018 • 64,480 km • 2.5 HATCHBACK S GRAND TOURING TA • Automático",Mazda • Mazda 3,"$
219,999"
"2018 • 25,252 km • 2.5 HATCHBACK S TA • Automático",Mazda • Mazda 3,"$
253,999"
"2016 • 100,000 km • 2.0 SEDAN I TOURING TA • Automático",Mazda • Mazda 3,"$
172,999"
"2023 • 32,385 km • 2.5 SIGNATURE 4WD AUTO • Automático",Mazda • Mazda 3,"$
325,999"
"2016 • 100,464 km • 2.5 HATCHBACK S TA • Automático",Mazda • Mazda 3,"$
188,999"
"2021 • 78,456 km • 2.5 I SPORT AUTO • Automático",Mazda • Mazda 3,"$
255,999"
"2018 • 101,855 km • 2.5 SEDAN I TOURING TA • Automático",Mazda • Mazda 3,"$
210,999"
"2021 • 17,117 km • 2.5 I SPORT AUTO • Automático",Mazda • Mazda 3,"$
312,999"
"2021 • 25,646 km • 2.5 I GRAND TOURING AUTO • Automático",Mazda • Mazda 3,"$
312,999"
"2021 • 57,287 km • 2.5 I SPORT AUTO • Automático",Mazda • Mazda 3,"$
271,999"
"2016 • 98,226 km • 2.5 SEDÁN S GRAND TOURING TA • Automático",Mazda • Mazda 3,"$
207,999"
"2021 • 25,343 km • 2.5 I GRAND TOURING AUTO • Automático",Mazda • Mazda 3,"$
319,999"
"2018 • 136,700 km • 2.5 SEDAN S GRAND TOURING TA • Automático",Mazda • Mazda 3,"$
208,999"
"2021 • 78,000 km • 2.5 I SPORT AUTO • Automático",Mazda • Mazda 3,"$
274,999"
"2024 • 18,481 km • 2.5 I GRAND TOURING AUTO • Automático",Mazda • Mazda 3,"$
342,999"
"2021 • 37,758 km • 2.5 I SPORT AUTO • Automático",Mazda • Mazda 3,"$
258,999"
"2019 • 44,573 km • 2.5 I SPORT SEDAN AUTO • Automático",Mazda • Mazda 3,"$
244,999"
"2020 • 62,070 km • 2.5 I SPORT • Manual",Mazda • Mazda 3,"$
264,999"
"2018 • 97,476 km • 2.5 SEDAN I TOURING TM • Manual",Mazda • Mazda 3,"$
178,999"
"2022 • 53,167 km • 2.5 I SPORT AUTO • Automático",Mazda • Mazda 3,"$
293,999"
"2021 • 49,197 km • 2.5 I GRAND TOURING AUTO • Automático",Mazda • Mazda 3,"$
300,999"
"2021 • 45,848 km • 2.5 I GRAND TOURING AUTO • Automático",Mazda • Mazda 3,"$
280,999"
"2021 • 42,581 km • 2.5 TURBO SIGNATURE 4WD AUTO • Automático",Mazda • Mazda 3,"$
333,999"
"2024 • 14,039 km • 2.5 I SPORT AUTO • Automático",Mazda • Mazda 3,"$
318,999"
"2022 • 21,446 km • 2.5 I SPORT AUTO • Automático",Mazda • Mazda 3,"$
286,999"
"2021 • 56,265 km • 2.5 I SPORT AUTO • Automático",Mazda • Mazda 3,"$
262,999"
"2020 • 76,078 km • 2.5 I SPORT • Manual",Mazda • Mazda 3,"$
226,999"
"2017 • 55,203 km • 2.5 HATCHBACK S GRAND TOURING TA • Automático",Mazda • Mazda 3,"$
214,999"
"2021 • 50,610 km • 2.5 TURBO SIGNATURE POLYMETAL 4WD AUTO • Automático",Mazda • Mazda 3,"$
322,999"
"2018 • 113,798 km • 2.5 SEDAN S GRAND TOURING TA • Automático",Mazda • Mazda 3,"$
189,999"
"2021 • 43,804 km • 2.5 I GRAND TOURING AUTO • Automático",Mazda • Mazda 3,"$
271,999"
"2016 • 96,000 km • 2.0 SEDAN I TOURING TA • Automático",Mazda • Mazda 3,"$
181,999"
"2018 • 131,929 km • 2.5 HATCHBACK S GRAND TOURING TA • Automático",Mazda • Mazda 3,"$
192,999"
"2024 • 17,000 km • 2.5 I GRAND TOURING AUTO • Automático",Mazda • Mazda 3,"$
320,999"
"2021 • 46,001 km • 2.5 I GRAND TOURING AUTO • Automático",Mazda • Mazda 3,"$
286,999"
"2016 • 62,300 km • 2.5 SEDAN S TM • Manual",Mazda • Mazda 3,"$
176,999"
"2021 • 70,743 km • 2.5 I SPORT AUTO • Automático",Mazda • Mazda 3,"$
254,999"
"2020 • 79,156 km • 2.5 I SPORT AUTO • Automático",Mazda • Mazda 3,"$
260,999"
"2018 • 129,000 km • 2.5 SEDAN S GRAND TOURING TA • Automático",Mazda • Mazda 3,"$
235,500"
"2022 • 74,000 km • 2.5 TURBO SIGNATURE 4WD AUTO • Automático",Mazda • Mazda 3,"$
376,499"
"2021 • 60,000 km • 2.5 TURBO S GRAND TOURING 4WD AUTO • Automático",Mazda • Mazda 3,"$
289,999"
"2016 • 109,307 km • 2.0 SEDAN I TOURING TA • Automático",Mazda • Mazda 3,"$
187,999"
"2016 • 99,625 km • 2.0 HATCHBACK I TOURING TM • Manual",Mazda • Mazda 3,"$
199,999"
"2016 • 129,444 km • 2.5 SEDÁN S TA • Automático",Mazda • Mazda 3,"$
193,999"
"2016 • 128,000 km • 2.5 SEDÁN S GRAND TOURING TA • Automático",Mazda • Mazda 3,"$
199,999"
"2016 • 135,843 km • 2.5 SEDÁN S TA • Automático",Mazda • Mazda 3,"$
184,999"
"2016 • 118,000 km • 2.5 HATCHBACK S GRAND TOURING TA • Automático",Mazda • Mazda 3,"$
176,999"
"2021 • 77,168 km • 2.5 I GRAND TOURING AUTO • Automático",Mazda • Mazda 3,"$
271,999"
"2017 • 76,906 km • 2.5 SEDÁN S GRAND TOURING TA • Automático",Mazda • Mazda 3,"$
213,999"
"2021 • 39,343 km • 2.5 I AUTO • Automático",Mazda • Mazda 3,"$
281,999"
"2023 • 29,000 km • 2.5 I GRAND TOURING AUTO • Automático",Mazda • Mazda 3,"$
350,999"
"2022 • 20,639 km • 2.5 TURBO SIGNATURE 4WD AUTO • Automático",Mazda • Mazda 3,"$
363,999"
"2023 • 30,748 km • 2.0 MHEV I SPORT AUTO • Automático",Mazda • Mazda 3,"$
348,999"
"2016 • 119,671 km • 2.0 SEDAN I TM • Manual",Mazda • Mazda 3,"$
162,999"
"2022 • 34,869 km • 2.5 I • Manual",Mazda • Mazda 3,"$
265,999"
"2018 • 88,566 km • 2.5 HATCHBACK S GRAND TOURING TA • Automático",Mazda • Mazda 3,"$
219,999"
"2020 • 58,000 km • 2.5 I GRAND TOURING AUTO • Automático",Mazda • Mazda 3,"$
279,999"
"2015 • 88,504 km • 2.0 SEDAN I TOURING TA • Automático",Mazda • Mazda 3,"$
181,999"
"2021 • 43,702 km • 2.5 I SPORT AUTO • Automático",Mazda • Mazda 3,"$
307,999"
"2021 • 34,803 km • 2.5 I AUTO • Automático",Mazda • Mazda 3,N/A
"2017 • 84,733 km • 2.5 SEDAN I TOURING TA • Automático",Mazda • Mazda 3,N/A
"2020 • 40,740 km • 2.5 I AUTO • Automático",Mazda • Mazda 3,N/A
"2020 • 68,000 km • 2.5 I SPORT • Manual",Mazda • Mazda 3,N/A
"2017 • 118,152 km • 2.5 HATCHBACK S GRAND TOURING TA • Automático",Mazda • Mazda 3,N/A
"2022 • 41,648 km • 2.5 I SPORT AUTO • Automático",Mazda • Mazda 3,N/A
"2016 • 117,699 km • 2.0 SEDAN I TOURING TA • Automático",Mazda • Mazda 3,N/A
"2021 • 89,850 km • 2.5 I SPORT AUTO • Automático",Mazda • Mazda 3,N/A
"2022 • 33,670 km • 2.5 I SPORT AUTO • Automático",Mazda • Mazda 3,N/A
"2022 • 17,474 km • 2.5 I GRAND TOURING AUTO • Automático",Mazda • Mazda 3,N/A
"2021 • 33,000 km • 2.5 I SPORT AUTO • Automático",Mazda • Mazda 3,N/A
"2015 • 92,000 km • 2.5 SEDÁN S TA • Automático",Mazda • Mazda 3,N/A
"2024 • 19,105 km • 2.5 I AUTO • Automático",Mazda • Mazda 3,N/A
"2021 • 30,000 km • 2.5 I GRAND TOURING AUTO • Automático",Mazda • Mazda 3,N/A
"2021 • 69,579 km • 2.5 I SPORT AUTO • Automático",Mazda • Mazda 3,N/A
"2022 • 22,788 km • 2.5 I GRAND TOURING AUTO • Automático",Mazda • Mazda 3,N/A
"2024 • 17,682 km • 2.5 I GRAND TOURING AUTO • Automático",Mazda • Mazda 3,N/A
"2018 • 57,000 km • 2.5 SEDAN S TM • Manual",Mazda • Mazda 3,"$
199,999"
"2018 • 96,143 km • 2.5 SEDAN I TOURING TA • Automático",Mazda • Mazda 3,N/A
"2021 • 43,190 km • 2.5 I SPORT AUTO • Automático",Mazda • Mazda 3,N/A
"2023 • 13,000 km • 2.0 MHEV I SPORT AUTO • Automático",Mazda • Mazda 3,N/A
"2025 • 12,510 km • 2.5 I GRAND TOURING AUTO • Automático",Mazda • Mazda 3,N/A
"2018 • 102,000 km • 2.5 SEDAN S TA • Automático",Mazda • Mazda 3,N/A
"2021 • 17,791 km • 2.5 I GRAND TOURING AUTO • Automático",Mazda • Mazda 3,N/A
"2017 • 65,782 km • 2.5 SEDAN I TOURING TM • Manual",Mazda • Mazda 3,N/A
"2024 • 12,157 km • 2.5 SIGNATURE 4WD AUTO • Automático",Mazda • Mazda 3,N/A
"2017 • 101,567 km • 2.5 SEDÁN S GRAND TOURING TA • Automático",Mazda • Mazda 3,N/A
"2022 • 27,000 km • 2.5 I GRAND TOURING AUTO • Automático",Mazda • Mazda 3,N/A
"2024 • 16,645 km • 2.5 I GRAND TOURING AUTO • Automático",Mazda • Mazda 3,N/A
"2023 • 29,510 km • 2.0 MHEV I SPORT AUTO • Automático",Mazda • Mazda 3,N/A
"2023 • 20,157 km • 2.5 I GRAND TOURING AUTO • Automático",Mazda • Mazda 3,N/A
"2016 • 50,708 km • 2.5 HATCHBACK S GRAND TOURING TA • Automático",Mazda • Mazda 3,N/A
"2024 • 19,161 km • 2.5 I SPORT AUTO • Automático",Mazda • Mazda 3,N/A
"2024 • 10,406 km • 2.5 I GRAND TOURING AUTO • Automático",Mazda • Mazda 3,N/A
"2022 • 26,537 km • 2.5 I SPORT AUTO • Automático",Mazda • Mazda 3,N/A
"2021 • 47,099 km • 2.5 I SPORT AUTO • Automático",Mazda • Mazda 3,N/A
"2024 • 14,065 km • 2.5 I GRAND TOURING AUTO • Automático",Mazda • Mazda 3,N/A
"2016 • 88,671 km • 2.0 SEDAN I TOURING TA • Automático",Mazda • Mazda 3,N/A
"2022 • 49,000 km • 2.5 I GRAND TOURING AUTO • Automático",Mazda • Mazda 3,N/A
"2021 • 36,162 km • 2.5 I SPORT AUTO • Automático",Mazda • Mazda 3,N/A
"2021 • 33,684 km • 2.5 I GRAND TOURING AUTO • Automático",Mazda • Mazda 3,N/A
"2022 • 56,322 km • 2.5 I GRAND TOURING AUTO • Automático",Mazda • Mazda 3,N/A
"2025 • 7,066 km • 2.5 I SPORT AUTO • Automático",Mazda • Mazda 3,N/A
"2016 • 26,792 km • 2.5 HATCHBACK S GRAND TOURING TA • Automático",Mazda • Mazda 3,N/A
"2023 • 25,366 km • 2.5 I SPORT AUTO • Automático",Mazda • Mazda 3,N/A
"2021 • 29,002 km • 2.5 I GRAND TOURING AUTO • Automático",Mazda • Mazda 3,N/A
"2016 • 69,000 km • 2.5 HATCHBACK S GRAND TOURING TA • Automático",Mazda • Mazda 3,N/A
"2023 • 21,194 km • 2.5 TURBO SIGNATURE 4WD AUTO • Automático",Mazda • Mazda 3,N/A
"2021 • 85,500 km • 2.5 I SPORT • Manual",Mazda • Mazda 3,N/A
"2017 • 75,000 km • 2.5 SEDÁN S GRAND TOURING TA • Automático",Mazda • Mazda 3,N/A
"2023 • 36,061 km • 2.5 TURBO SIGNATURE 4WD AUTO • Automático",Mazda • Mazda 3,N/A
"2018 • 57,000 km • 2.5 HATCHBACK S TA • Automático",Mazda • Mazda 3,N/A
"2020 • 87,318 km • 2.5 I GRAND TOURING AUTO • Automático",Mazda • Mazda 3,N/A
"2019 • 108,714 km • 2.5 I SPORT SEDAN AUTO • Automático",Mazda • Mazda 3,N/A
"2016 • 98,000 km • 2.5 SEDÁN S TA • Automático",Mazda • Mazda 3,N/A
"2010 • 147,330 km • 2.5 SEDAN S GT TA • Automático",Mazda • Mazda 3,N/A
